Efficiency round trip,88.17,%
SOC mean,7.53,%
SOC max,99.39,%
SOC min,0.00,%
Number of changes of signs per day,1.84,
Avg. length of resting times,1358.98,min
Pos. energy between changes of sign,35.41,%
Avg. Fulfillment Factor,22.49,%
Remaining capacity,79.94,%
Energy throughput,215.30,kWh
DC_DC efficiency charge,100.00,%
DC_DC efficiency discharge,100.00,%
DC_DC efficiency total,100.00,%
AC_DC efficiency charge,94.92,%
AC_DC efficiency discharge,93.19,%
AC_DC efficiency total,88.45,%
Power electronics efficiency total,88.45,%
Max. load of additional dc power,0.00,W
Max. generation of additional dc power,0.00,W
